"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/gautam/koesk/src/AST.C", "C", 16, 0, 5, 7, 28
"/home/gautam/koesk/src/include/AST.h", "C++", 0, 24, 5, 7, 36
"/home/gautam/koesk/src/include/lexer.h", "C++", 0, 18, 0, 10, 28
"/home/gautam/koesk/src/include/main.h", "C++", 0, 0, 0, 1, 1
"/home/gautam/koesk/src/include/parser.h", "C++", 0, 21, 1, 14, 36
"/home/gautam/koesk/src/include/token.h", "C++", 0, 17, 0, 2, 19
"/home/gautam/koesk/src/lexer.c", "C", 90, 0, 0, 19, 109
"/home/gautam/koesk/src/main.c", "C", 15, 0, 0, 5, 20
"/home/gautam/koesk/src/parser.c", "C", 51, 0, 0, 17, 68
"/home/gautam/koesk/src/token.c", "C", 9, 0, 0, 4, 13
"Total", "-", 181, 80, 11, 86, 358